Forest,Plot,Year,Date,Quadrant,DBH_cm
Kip tract,1,2021,15-Sep-21,2,13.2
Kip tract,1,2021,15-Sep-21,2,39.3
Kip tract,1,2021,15-Sep-21,2,22.6
Kip tract,1,2021,15-Sep-21,2,11
Kip tract,1,2021,15-Sep-21,2,29.9
Kip tract,1,2021,15-Sep-21,2,17.8
Kip tract,1,2021,15-Sep-21,2,14.2
Kip tract,1,2021,15-Sep-21,1,17.8
Kip tract,1,2021,15-Sep-21,1,26.4
Kip tract,1,2021,15-Sep-21,1,17.1
Kip tract,1,2021,15-Sep-21,1,15.4
Kip tract,1,2021,15-Sep-21,1,12.4
Kip tract,1,2021,15-Sep-21,1,25.25
Kip tract,1,2021,15-Sep-21,3,76.8
Kip tract,1,2021,15-Sep-21,3,12.8
Kip tract,1,2021,15-Sep-21,3,33.25
Kip tract,1,2021,15-Sep-21,3,14
Kip tract,1,2021,15-Sep-21,3,28.5
Kip tract,1,2021,15-Sep-21,3,25
Kip tract,1,2021,15-Sep-21,4,35.9
Kip tract,1,2021,15-Sep-21,4,15.2
Kip tract,1,2021,15-Sep-21,4,68.4
Kip tract,1,2021,15-Sep-21,4,22.6
Kip tract,1,2021,15-Sep-21,4,13.4
Kip tract,2,2021,22-Sep-21,1,46.4
Kip tract,2,2021,22-Sep-21,1,34.8
Kip tract,2,2021,22-Sep-21,1,12.8
Kip tract,2,2021,22-Sep-21,1,41.8
Kip tract,2,2021,22-Sep-21,1,48.8
Kip tract,2,2021,22-Sep-21,1,14.4
Kip tract,2,2021,22-Sep-21,1,17.2
Kip tract,2,2021,22-Sep-21,2,19.8
Kip tract,2,2021,22-Sep-21,2,16
Kip tract,2,2021,22-Sep-21,2,31.4
Kip tract,2,2021,22-Sep-21,2,19.3
Kip tract,2,2021,22-Sep-21,3,28.3
Kip tract,2,2021,22-Sep-21,3,12.2
Kip tract,2,2021,22-Sep-21,3,18.8
Kip tract,2,2021,22-Sep-21,4,84.9
Kip tract,2,2021,22-Sep-21,4,35.4
Kip tract,2,2021,22-Sep-21,4,19.7
Kip tract,2,2021,22-Sep-21,4,32.3
Kip tract,2,2021,22-Sep-21,4,24.2
Kip tract,2,2021,22-Sep-21,4,14.7
Kip tract,3,2021,22-Sep-21,1,27.3
Kip tract,3,2021,22-Sep-21,1,13.8
Kip tract,3,2021,22-Sep-21,1,32.4
Kip tract,3,2021,22-Sep-21,2,12.7
Kip tract,3,2021,22-Sep-21,2,37.9
Kip tract,3,2021,22-Sep-21,2,15.5
Kip tract,3,2021,22-Sep-21,2,29.7
Kip tract,3,2021,22-Sep-21,2,16.9
Kip tract,3,2021,22-Sep-21,2,10
Kip tract,3,2021,22-Sep-21,2,29
Kip tract,3,2021,22-Sep-21,2,35
Kip tract,3,2021,22-Sep-21,2,18.5
Kip tract,3,2021,22-Sep-21,2,10.8
Kip tract,3,2021,22-Sep-21,3,25.5
Kip tract,3,2021,22-Sep-21,3,36.6
Kip tract,3,2021,22-Sep-21,3,14.5
Kip tract,3,2021,22-Sep-21,4,66.5
Kip tract,3,2021,22-Sep-21,4,12.6
Kip tract,3,2021,22-Sep-21,4,25.8
Kip tract,3,2021,22-Sep-21,4,32.1
Kip tract,3,2021,22-Sep-21,4,34.6
Donnerville,1,2021,29-Sep-21,1,25.1
Donnerville,1,2021,29-Sep-21,1,18
Donnerville,1,2021,29-Sep-21,1,17.1
Donnerville,1,2021,29-Sep-21,1,16.3
Donnerville,1,2021,29-Sep-21,1,14.4
Donnerville,1,2021,29-Sep-21,1,25.3
Donnerville,1,2021,29-Sep-21,1,16.2
Donnerville,1,2021,29-Sep-21,2,14
Donnerville,1,2021,29-Sep-21,2,19.4
Donnerville,1,2021,29-Sep-21,2,79
Donnerville,1,2021,29-Sep-21,3,23.2
Donnerville,1,2021,29-Sep-21,3,16.6
Donnerville,1,2021,29-Sep-21,3,18.4
Donnerville,1,2021,29-Sep-21,3,24.5
Donnerville,1,2021,29-Sep-21,3,14.3
Donnerville,1,2021,29-Sep-21,3,37
Donnerville,1,2021,29-Sep-21,4,27.5
Donnerville,1,2021,29-Sep-21,4,18.6
Donnerville,1,2021,29-Sep-21,4,19.4
Donnerville,1,2021,29-Sep-21,4,18.11
Donnerville,2,2021,29-Sep-21,1,19
Donnerville,2,2021,29-Sep-21,1,45.1
Donnerville,2,2021,29-Sep-21,1,13.9
Donnerville,2,2021,29-Sep-21,1,10.6
Donnerville,2,2021,29-Sep-21,1,18.8
Donnerville,2,2021,29-Sep-21,2,11.9
Donnerville,2,2021,29-Sep-21,2,22
Donnerville,2,2021,29-Sep-21,2,50.4
Donnerville,2,2021,29-Sep-21,2,11.2
Donnerville,2,2021,29-Sep-21,2,33.5
Donnerville,2,2021,29-Sep-21,3,24.3
Donnerville,2,2021,29-Sep-21,3,13.3
Donnerville,2,2021,29-Sep-21,3,9.9
Donnerville,2,2021,29-Sep-21,3,35.9
Donnerville,2,2021,29-Sep-21,3,102.6
Donnerville,2,2021,29-Sep-21,3,14.6
Donnerville,2,2021,29-Sep-21,4,32.4
Donnerville,2,2021,29-Sep-21,4,13.3
Donnerville,2,2021,29-Sep-21,4,14.7
Donnerville,2,2021,29-Sep-21,4,21.8
Donnerville,2,2021,29-Sep-21,4,31.6
Donnerville,2,2021,29-Sep-21,4,11.2
Donnerville,2,2021,29-Sep-21,4,10.7
Donnerville,2,2021,29-Sep-21,4,10.3
Donnerville,3,2021,29-Sep-21,1,33.9
Donnerville,3,2021,29-Sep-21,1,46.3
Donnerville,3,2021,29-Sep-21,1,12.8
Donnerville,3,2021,29-Sep-21,1,13.2
Donnerville,3,2021,29-Sep-21,1,20.2
Donnerville,3,2021,29-Sep-21,1,26.5
Donnerville,3,2021,29-Sep-21,2,14.4
Donnerville,3,2021,29-Sep-21,2,34.4
Donnerville,3,2021,29-Sep-21,2,67.5
Donnerville,3,2021,29-Sep-21,2,12.9
Donnerville,3,2021,29-Sep-21,4,13.6
Donnerville,3,2021,29-Sep-21,4,11.2
Donnerville,3,2021,29-Sep-21,3,17.8
Donnerville,3,2021,29-Sep-21,3,39
Donnerville,3,2021,29-Sep-21,3,16.2
Donnerville,3,2021,29-Sep-21,3,11.9
South Hammond,1,2021,6-Oct-21,1,13.8
South Hammond,1,2021,6-Oct-21,1,24.1
South Hammond,1,2021,6-Oct-21,1,15.4
South Hammond,1,2021,6-Oct-21,1,11.3
South Hammond,1,2021,6-Oct-21,1,15.9
South Hammond,1,2021,6-Oct-21,1,49
South Hammond,1,2021,6-Oct-21,2,29.2
South Hammond,1,2021,6-Oct-21,2,24.4
South Hammond,1,2021,6-Oct-21,2,22.1
South Hammond,1,2021,6-Oct-21,2,38.6
South Hammond,1,2021,6-Oct-21,2,10.3
South Hammond,1,2021,6-Oct-21,2,14.1
South Hammond,1,2021,6-Oct-21,3,20.2
South Hammond,1,2021,6-Oct-21,3,14.4
South Hammond,1,2021,6-Oct-21,3,13.5
South Hammond,1,2021,6-Oct-21,3,10.9
South Hammond,1,2021,6-Oct-21,3,10.1
South Hammond,1,2021,6-Oct-21,3,18.2
South Hammond,1,2021,6-Oct-21,3,13.6
South Hammond,1,2021,6-Oct-21,3,15.9
South Hammond,1,2021,6-Oct-21,4,44.5
South Hammond,1,2021,6-Oct-21,4,18.3
South Hammond,1,2021,6-Oct-21,4,11.3
South Hammond,1,2021,6-Oct-21,4,10
South Hammond,2,2021,13-Oct-21,1,30.75
South Hammond,2,2021,13-Oct-21,1,22.8
South Hammond,2,2021,13-Oct-21,1,22.4
South Hammond,2,2021,13-Oct-21,1,16.6
South Hammond,2,2021,13-Oct-21,1,11.8
South Hammond,2,2021,13-Oct-21,4,55.7
South Hammond,2,2021,13-Oct-21,4,15.4
South Hammond,2,2021,13-Oct-21,4,36.5
South Hammond,2,2021,13-Oct-21,4,11.2
South Hammond,2,2021,13-Oct-21,4,18.7
South Hammond,2,2021,13-Oct-21,4,11.7
South Hammond,2,2021,13-Oct-21,3,28.6
South Hammond,2,2021,13-Oct-21,3,17.7
South Hammond,2,2021,13-Oct-21,3,18.3
South Hammond,2,2021,13-Oct-21,3,37.7
South Hammond,2,2021,13-Oct-21,3,17.2
South Hammond,2,2021,13-Oct-21,3,27.2
South Hammond,2,2021,13-Oct-21,3,10.2
South Hammond,2,2021,13-Oct-21,3,34
South Hammond,2,2021,13-Oct-21,2,20.7
South Hammond,2,2021,13-Oct-21,2,24
South Hammond,2,2021,13-Oct-21,2,10.5
South Hammond,2,2021,13-Oct-21,2,16.5
South Hammond,3,2021,13-Oct-21,1,15.4
South Hammond,3,2021,13-Oct-21,1,13.5
South Hammond,3,2021,13-Oct-21,1,10.4
South Hammond,3,2021,13-Oct-21,1,16.3
South Hammond,3,2021,13-Oct-21,1,29.5
South Hammond,3,2021,13-Oct-21,1,10.7
South Hammond,3,2021,13-Oct-21,4,10.6
South Hammond,3,2021,13-Oct-21,4,50.7
South Hammond,3,2021,13-Oct-21,4,14.6
South Hammond,3,2021,13-Oct-21,4,26
South Hammond,3,2021,13-Oct-21,4,12.5
South Hammond,3,2021,13-Oct-21,4,26.9
South Hammond,3,2021,13-Oct-21,4,20.7
South Hammond,3,2021,13-Oct-21,4,17.6
South Hammond,3,2021,13-Oct-21,3,15.4
South Hammond,3,2021,13-Oct-21,3,39
South Hammond,3,2021,13-Oct-21,3,29.5
South Hammond,3,2021,13-Oct-21,3,23
South Hammond,3,2021,13-Oct-21,3,11.7
South Hammond,3,2021,13-Oct-21,3,12.5
South Hammond,3,2021,13-Oct-21,2,41.5
South Hammond,3,2021,13-Oct-21,2,19
South Hammond,3,2021,13-Oct-21,2,14.6
South Hammond,3,2021,13-Oct-21,2,12.8
South Hammond,3,2021,13-Oct-21,2,19.3
South Hammond,3,2021,13-Oct-21,2,18.3
South Hammond,3,2021,13-Oct-21,2,35.1
South Hammond,3,2021,13-Oct-21,2,10.3
Peavine Swamp,2,2021,20-Oct-21,1,21.4
Peavine Swamp,2,2021,20-Oct-21,1,25.7
Peavine Swamp,2,2021,20-Oct-21,1,32.9
Peavine Swamp,2,2021,20-Oct-21,1,34.9
Peavine Swamp,2,2021,20-Oct-21,1,10.8
Peavine Swamp,2,2021,20-Oct-21,1,38.6
Peavine Swamp,2,2021,20-Oct-21,2,29.8
Peavine Swamp,2,2021,20-Oct-21,2,15.6
Peavine Swamp,2,2021,20-Oct-21,2,18
Peavine Swamp,2,2021,20-Oct-21,3,11
Peavine Swamp,2,2021,20-Oct-21,3,17.3
Peavine Swamp,2,2021,20-Oct-21,3,14.8
Peavine Swamp,2,2021,20-Oct-21,3,43.9
Peavine Swamp,2,2021,20-Oct-21,4,14
Peavine Swamp,2,2021,20-Oct-21,4,10.5
Peavine Swamp,2,2021,20-Oct-21,4,15.7
Peavine Swamp,2,2021,20-Oct-21,4,10.2
Peavine Swamp,3,2021,20-Oct-21,2,24.7
Peavine Swamp,3,2021,20-Oct-21,2,29.3
Peavine Swamp,3,2021,20-Oct-21,2,13.3
Peavine Swamp,3,2021,20-Oct-21,2,28.7
Peavine Swamp,3,2021,20-Oct-21,2,11.3
Peavine Swamp,3,2021,20-Oct-21,3,42
Peavine Swamp,3,2021,20-Oct-21,3,17.8
Peavine Swamp,3,2021,20-Oct-21,3,36.5
Peavine Swamp,3,2021,20-Oct-21,3,10.1
Peavine Swamp,3,2021,20-Oct-21,3,41
Peavine Swamp,3,2021,20-Oct-21,4,10.4
Peavine Swamp,3,2021,20-Oct-21,4,11.1
Peavine Swamp,3,2021,20-Oct-21,4,14.1
Peavine Swamp,3,2021,20-Oct-21,4,12.2
Peavine Swamp,3,2021,20-Oct-21,4,32.8
Peavine Swamp,3,2021,20-Oct-21,4,29.4
Peavine Swamp,3,2021,20-Oct-21,4,31.5
Peavine Swamp,3,2021,20-Oct-21,1,11.5
Peavine Swamp,3,2021,20-Oct-21,1,29.1
Peavine Swamp,3,2021,20-Oct-21,1,41.9
Peavine Swamp,3,2021,20-Oct-21,1,41.1
Peavine Swamp,1,2021,27-Oct-21,1,74.3
Peavine Swamp,1,2021,27-Oct-21,1,18.7
Peavine Swamp,1,2021,27-Oct-21,4,56.4
Peavine Swamp,1,2021,27-Oct-21,4,13.1
Peavine Swamp,1,2021,27-Oct-21,4,35.5
Peavine Swamp,1,2021,27-Oct-21,4,14.4
Peavine Swamp,1,2021,27-Oct-21,4,12.2
Peavine Swamp,1,2021,27-Oct-21,4,14.2
Peavine Swamp,1,2021,27-Oct-21,4,53.2
Peavine Swamp,1,2021,27-Oct-21,4,17
Peavine Swamp,1,2021,27-Oct-21,4,32.4
Peavine Swamp,1,2021,27-Oct-21,4,43.5
Peavine Swamp,1,2021,27-Oct-21,4,11.3
Peavine Swamp,1,2021,27-Oct-21,3,14.2
Peavine Swamp,1,2021,27-Oct-21,3,14.9
Peavine Swamp,1,2021,27-Oct-21,3,15.3
Peavine Swamp,1,2021,27-Oct-21,3,25.6
Peavine Swamp,1,2021,27-Oct-21,3,10.2
Peavine Swamp,1,2021,27-Oct-21,2,11.6
Peavine Swamp,1,2021,27-Oct-21,2,50.8
Peavine Swamp,1,2021,27-Oct-21,2,12.8
Peavine Swamp,1,2021,27-Oct-21,2,25.3
Peavine Swamp,1,2021,27-Oct-21,2,20.6
Degrasse,1,2021,27-Oct-21,1,36.8
Degrasse,1,2021,27-Oct-21,1,41.9
Degrasse,1,2021,27-Oct-21,1,37
Degrasse,1,2021,27-Oct-21,2,28.7
Degrasse,1,2021,27-Oct-21,2,13.8
Degrasse,1,2021,27-Oct-21,2,12.8
Degrasse,1,2021,27-Oct-21,2,35.2
Degrasse,1,2021,27-Oct-21,2,15.7
Degrasse,1,2021,27-Oct-21,3,37.7
Degrasse,1,2021,27-Oct-21,3,16.6
Degrasse,1,2021,27-Oct-21,3,37.8
Degrasse,1,2021,27-Oct-21,3,37.2
Degrasse,1,2021,27-Oct-21,4,35.6
Degrasse,1,2021,27-Oct-21,4,10.2
Degrasse,1,2021,27-Oct-21,4,37.8
Degrasse,2,2021,27-Oct-21,1,37.2
Degrasse,2,2021,27-Oct-21,1,42.2
Degrasse,2,2021,27-Oct-21,1,34.4
Degrasse,2,2021,27-Oct-21,1,24.9
Degrasse,2,2021,27-Oct-21,2,36.6
Degrasse,2,2021,27-Oct-21,3,39.2
Degrasse,2,2021,27-Oct-21,3,41
Degrasse,2,2021,27-Oct-21,3,34.5
Degrasse,2,2021,27-Oct-21,3,40.3
Degrasse,2,2021,27-Oct-21,4,37.2
Degrasse,2,2021,27-Oct-21,4,33.8
Degrasse,2,2021,27-Oct-21,4,38.8
Degrasse,2,2021,27-Oct-21,4,21.7
Degrasse,2,2021,27-Oct-21,4,36.1
Degrasse,3,2021,27-Oct-21,1,39.8
Degrasse,3,2021,27-Oct-21,1,11.4
Degrasse,3,2021,27-Oct-21,2,21.3
Degrasse,3,2021,27-Oct-21,2,37.3
Degrasse,3,2021,27-Oct-21,2,34.5
Degrasse,3,2021,27-Oct-21,2,41.3
Degrasse,3,2021,27-Oct-21,2,10.7
Degrasse,3,2021,27-Oct-21,3,33.7
Degrasse,3,2021,27-Oct-21,3,36.5
Degrasse,3,2021,27-Oct-21,3,11.8
Degrasse,3,2021,27-Oct-21,3,35.7
Degrasse,3,2021,27-Oct-21,4,37.5
Degrasse,3,2021,27-Oct-21,4,40.8
Degrasse,3,2021,27-Oct-21,4,15.1
Degrasse,3,2021,27-Oct-21,4,32.3